step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
32,0.008018,0.007269,0.008813,-0.019458,-0.020029,-0.017185,-0.002336,-0.012153,-0.003977,-0.010349,-0.000232,-0.000250,-0.007063,-0.008066,0.006584,-0.001361,0.024206,-0.031487,-0.000083,0.000000,0.100000,0.100000,0.112799,0.112608,0.000000,0.000000,1.000000,0.074866,-0.019016,17.043816,0.001975,1.004170,63852.000000,5.592588,0.565648,-1.823744,28.950001,-1.823744,28.950001
33,0.007240,0.007172,0.008624,-0.019360,-0.019683,-0.016893,-0.002308,-0.012215,-0.003925,-0.010147,-0.000229,-0.000244,-0.006884,-0.007873,0.006417,-0.001338,0.023589,-0.029455,-0.000072,0.000000,0.100000,0.100000,0.112580,0.109885,0.000000,0.000000,1.000000,0.076070,-0.017931,17.049187,0.001975,1.005748,55569.000000,6.496801,0.579317,-1.695723,29.530001,-1.695723,29.530001
34,0.007777,0.007220,0.008712,-0.019717,-0.019696,-0.017136,-0.002146,-0.012199,-0.003987,-0.010747,-0.000232,-0.000245,-0.006884,-0.007970,0.006566,-0.001347,0.023783,-0.031644,-0.000075,0.000000,0.100000,0.100000,0.111630,0.110901,0.000000,0.000000,1.000000,0.075928,-0.016548,17.064564,0.001975,1.006871,37584.000000,9.236984,1.225207,-1.769691,29.860001,-1.769691,29.860001
35,0.007439,0.007178,0.008609,-0.019105,-0.019471,-0.016964,-0.002301,-0.012370,-0.003960,-0.010582,-0.000230,-0.000238,-0.006831,-0.007929,0.006420,-0.001329,0.023642,-0.029986,-0.000071,0.000000,0.100000,0.100000,0.110832,0.109038,0.000000,0.000000,1.000000,0.074334,-0.018826,17.078461,0.001975,1.007747,32308.000000,11.094585,1.076176,-1.542167,28.830000,-1.542167,28.830000
36,0.007450,0.007209,0.008568,-0.019607,-0.019393,-0.016908,-0.002134,-0.012307,-0.003941,-0.010407,-0.000230,-0.000246,-0.006747,-0.007842,0.006456,-0.001324,0.023367,-0.030494,-0.000064,0.000000,0.100000,0.100000,0.110235,0.107520,0.000000,0.000000,1.000000,0.077055,-0.019164,17.081900,0.001975,1.007854,63993.000000,5.531106,0.613552,-1.998106,31.480000,-1.998106,31.480000
37,0.008116,0.007223,0.008674,-0.018894,-0.019475,-0.017167,-0.002258,-0.012391,-0.004018,-0.010325,-0.000233,-0.000247,-0.006792,-0.007907,0.006588,-0.001342,0.023931,-0.029652,-0.000063,0.000000,0.100000,0.100000,0.110183,0.109647,0.000000,0.000000,1.000000,0.075016,-0.019694,17.082190,0.001975,1.008338,56053.000000,6.418051,0.596906,-1.553380,28.180000,-1.553380,28.180000
38,0.007926,0.007308,0.008715,-0.020368,-0.019566,-0.017283,-0.002223,-0.012324,-0.004033,-0.010773,-0.000234,-0.000244,-0.006863,-0.007815,0.006584,-0.001347,0.023618,-0.029553,-0.000076,0.000000,0.100000,0.100000,0.110879,0.109840,0.000000,0.000000,1.000000,0.075635,-0.019520,17.089098,0.001975,1.009139,40881.000000,8.415738,1.202806,-1.849801,31.719999,-1.849801,31.719999
39,0.007937,0.007268,0.008645,-0.019519,-0.019322,-0.017180,-0.002335,-0.012488,-0.004011,-0.010544,-0.000233,-0.000239,-0.006803,-0.007809,0.006517,-0.001332,0.023671,-0.029484,-0.000071,0.000000,0.100000,0.100000,0.110013,0.108486,0.000000,0.000000,1.000000,0.074106,-0.020333,17.091883,0.001975,1.009312,38484.000000,9.005200,1.212442,-1.500950,29.790001,-1.500950,29.790001
40,0.007797,0.007182,0.008618,-0.019749,-0.019391,-0.017179,-0.002147,-0.012421,-0.004028,-0.010349,-0.000233,-0.000245,-0.006778,-0.007708,0.006477,-0.001349,0.023497,-0.028861,-0.000067,0.000000,0.100000,0.100000,0.110128,0.108907,0.000000,0.000000,1.000000,0.074949,-0.020159,17.098360,0.001975,1.010056,52331.000000,6.938526,0.575433,-1.796744,29.219999,-1.796744,29.219999
41,0.007724,0.007184,0.008558,-0.019476,-0.019219,-0.017047,-0.002291,-0.012421,-0.003970,-0.010633,-0.000230,-0.000233,-0.006712,-0.007694,0.006473,-0.001332,0.023389,-0.029948,-0.000071,0.000000,0.100000,0.100000,0.109460,0.107261,0.000000,0.000000,1.000000,0.076016,-0.020158,17.102856,0.001975,1.010516,60063.000000,5.975951,0.570672,-1.626386,29.500000,-1.626386,29.500000
42,0.007658,0.007188,0.008563,-0.019330,-0.019284,-0.017061,-0.002173,-0.012428,-0.003990,-0.010260,-0.000231,-0.000235,-0.006725,-0.007704,0.006449,-0.001325,0.023438,-0.029595,-0.000072,0.000000,0.100000,0.100000,0.109664,0.107551,0.000000,0.000000,1.000000,0.073200,-0.020539,17.105246,0.001975,1.010544,52161.000000,6.565856,0.972539,-1.762436,31.469999,-1.762436,31.469999
43,0.007507,0.007186,0.008503,-0.019176,-0.019155,-0.016981,-0.002423,-0.012534,-0.003982,-0.010289,-0.000230,-0.000233,-0.006635,-0.007678,0.006370,-0.001312,0.023299,-0.029346,-0.000073,0.000000,0.100000,0.100000,0.108939,0.106158,0.000000,0.000000,1.000000,0.076541,-0.020216,17.106718,0.001975,1.010952,36872.000000,9.468821,1.195461,-1.757966,28.740000,-1.757966,28.740000
44,0.007429,0.007231,0.008557,-0.019450,-0.019206,-0.017124,-0.002115,-0.012389,-0.004010,-0.010224,-0.000232,-0.000233,-0.006701,-0.007694,0.006407,-0.001332,0.023385,-0.029275,-0.000065,0.000000,0.100000,0.100000,0.109843,0.107329,0.000000,0.000000,1.000000,0.074562,-0.020758,17.116318,0.001975,1.011691,53365.000000,6.775444,0.592958,-1.931008,32.459999,-1.931008,32.459999
45,0.007373,0.007140,0.008493,-0.018918,-0.019069,-0.016968,-0.002135,-0.012455,-0.003971,-0.010370,-0.000230,-0.000234,-0.006610,-0.007591,0.006393,-0.001318,0.023339,-0.029706,-0.000081,0.000000,0.100000,0.100000,0.109413,0.106237,0.000000,0.000000,1.000000,0.074238,-0.020994,17.116024,0.001975,1.011763,59614.000000,6.023643,0.572364,-1.612646,27.740000,-1.612646,27.740000
46,0.007749,0.007187,0.008536,-0.018954,-0.018963,-0.017096,-0.002210,-0.012598,-0.004004,-0.010266,-0.000232,-0.000234,-0.006637,-0.007661,0.006459,-0.001313,0.023449,-0.029390,-0.000064,0.000000,0.100000,0.100000,0.108152,0.107120,0.000000,0.000000,1.000000,0.074676,-0.021132,17.125792,0.001975,1.012695,52692.000000,6.542883,0.919532,-1.369495,29.650000,-1.369495,29.650000
47,0.007754,0.007187,0.008579,-0.019817,-0.018950,-0.017219,-0.002147,-0.012613,-0.004028,-0.010534,-0.000234,-0.000233,-0.006712,-0.007634,0.006465,-0.001318,0.023377,-0.028330,-0.000060,0.000000,0.100000,0.100000,0.109438,0.107804,0.000000,0.000000,1.000000,0.073289,-0.021385,17.126574,0.001975,1.012946,39793.000000,8.630637,1.250716,-1.510802,27.830000,-1.510802,27.830000
48,0.007200,0.007156,0.008431,-0.019112,-0.018844,-0.016927,-0.002329,-0.012593,-0.003965,-0.010104,-0.000230,-0.000239,-0.006553,-0.007533,0.006309,-0.001298,0.023103,-0.028737,-0.000066,0.000000,0.100000,0.100000,0.108110,0.104993,0.000000,0.000000,1.000000,0.076499,-0.021682,17.133770,0.001975,1.013601,35485.000000,10.214863,0.866024,-1.618868,29.840000,-1.618868,29.840000
49,0.008027,0.007185,0.008537,-0.019140,-0.018814,-0.017154,-0.002088,-0.012591,-0.004004,-0.010198,-0.000232,-0.000225,-0.006569,-0.007658,0.006465,-0.001312,0.023438,-0.029284,-0.000057,0.000000,0.100000,0.100000,0.106987,0.107037,0.000000,0.000000,1.000000,0.074740,-0.021621,17.130009,0.001975,1.013694,63418.000000,5.610765,0.589593,-1.757049,28.180000,-1.757049,28.180000
