step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
40,0.005312,0.006070,0.008648,-0.021664,-0.024559,-0.017077,-0.002698,-0.013261,-0.004481,-0.010909,-0.000267,-0.000436,-0.007546,-0.010238,0.006799,-0.001465,0.022709,-0.031704,-0.000217,0.000000,0.100000,0.100000,0.120677,0.126144,0.000000,0.000000,1.000000,0.106810,-0.044367,17.085821,0.000010,1.004920,340.000000,4.107272,0.403330,-1.904640,31.629999,-1.904640,31.629999
41,0.008725,0.006448,0.008675,-0.011658,-0.022793,-0.017439,-0.002891,-0.012069,-0.004471,-0.012540,-0.000262,-0.000313,-0.007660,-0.009868,0.006862,-0.001520,0.026195,-0.041455,-0.000236,0.000000,0.100000,0.100000,0.116541,0.126141,0.000000,0.000000,1.000000,0.095373,-0.045109,17.088551,0.000010,1.005282,333.000000,4.131390,0.476274,-1.861213,30.850000,-1.861213,30.850000
42,0.007706,0.006839,0.009075,-0.019540,-0.022824,-0.017868,-0.003229,-0.013389,-0.004753,-0.010542,-0.000270,-0.000449,-0.008404,-0.010181,0.006795,-0.001422,0.025152,-0.027003,-0.000047,0.000000,0.100000,0.100000,0.118912,0.133818,0.000000,0.000000,1.000000,0.101783,-0.047414,17.093458,0.000010,1.005739,341.000000,4.061197,0.432066,-1.765109,30.760000,-1.765109,30.760000
43,0.007401,0.006574,0.008460,-0.021304,-0.022182,-0.016667,-0.003396,-0.012578,-0.004623,-0.008938,-0.000258,-0.000296,-0.007800,-0.009491,0.006501,-0.001540,0.022402,-0.041536,-0.000183,0.000000,0.100000,0.100000,0.112445,0.113579,0.000000,0.000000,1.000000,0.087351,-0.043869,17.096766,0.000010,1.005929,362.000000,3.847595,0.391117,-1.883023,30.270000,-1.883023,30.270000
44,0.013912,0.007935,0.010869,-0.017651,-0.025777,-0.021684,-0.003898,-0.014154,-0.005856,-0.014692,-0.000341,-0.000374,-0.010141,-0.012740,0.008372,-0.001795,0.031491,-0.048469,-0.000237,0.000000,0.100000,0.100000,0.127739,0.158448,0.000000,0.000000,1.000000,0.101190,-0.046849,17.095423,0.000010,1.005695,219.000000,6.600767,0.407499,-2.012407,32.700001,-2.012407,32.700001
45,0.009457,0.007134,0.009760,-0.014050,-0.024271,-0.019619,-0.002600,-0.013006,-0.005057,-0.013179,-0.000304,-0.000402,-0.009078,-0.011072,0.007648,-0.001596,0.029004,-0.033517,-0.000075,0.000000,0.100000,0.100000,0.128853,0.137835,0.000000,0.000000,1.000000,0.093836,-0.045873,17.093361,0.000010,1.005557,304.000000,4.302877,0.744650,-1.916704,33.230000,-1.916704,33.230000
46,0.005939,0.006642,0.008966,-0.008396,-0.022418,-0.017656,-0.003678,-0.012188,-0.004687,-0.011026,-0.000270,-0.000356,-0.008412,-0.010397,0.006710,-0.001393,0.028010,-0.037653,-0.000321,0.000000,0.100000,0.100000,0.123286,0.129412,0.000000,0.000000,1.000000,0.095123,-0.045736,17.093168,0.000010,1.005621,313.000000,4.485960,0.411708,-1.759599,31.080000,-1.759599,31.080000
47,0.008056,0.006207,0.008826,-0.024502,-0.022537,-0.017557,-0.002954,-0.012445,-0.004797,-0.012402,-0.000268,-0.000251,-0.007887,-0.010101,0.006314,-0.001498,0.022718,-0.029201,-0.000103,0.000000,0.100000,0.100000,0.111578,0.123098,0.000000,0.000000,1.000000,0.120156,-0.042557,17.091253,0.000010,1.005313,330.000000,4.206892,0.444641,-1.802843,30.360001,-1.802843,30.360001
48,0.003192,0.006401,0.008387,-0.017747,-0.023123,-0.016973,-0.003001,-0.012338,-0.004731,-0.012685,-0.000259,-0.000277,-0.007884,-0.009632,0.005615,-0.001349,0.022871,-0.043244,-0.000228,0.000000,0.100000,0.100000,0.123757,0.119806,0.000000,0.000000,1.000000,0.087151,-0.044272,17.084805,0.000010,1.004720,338.000000,4.154995,0.389132,-1.915542,30.100000,-1.915542,30.100000
49,0.007884,0.006468,0.008605,-0.023618,-0.022893,-0.017832,-0.003264,-0.012783,-0.004825,-0.011321,-0.000282,-0.000387,-0.008173,-0.009986,0.006342,-0.001531,0.022578,-0.031154,-0.000222,0.000000,0.100000,0.100000,0.117996,0.125237,0.000000,0.000000,1.000000,0.125130,-0.043170,17.081646,0.000010,1.004585,351.000000,3.961337,0.402496,-1.964702,29.920000,-1.964702,29.920000
