step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
32,0.000000,0.000000,0.042745,-0.200000,-0.015102,-0.001747,-0.013136,-0.000175,-0.000428,-0.006726,0.000000,0.000101,-0.009406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.145027,0.205050,0.000000,1.000000,0.038510,-0.002744,18.055988,0.004444,1.090428,184094.000000,1.957392,0.178556,-4.063494,90.220001,-4.063494,90.220001
33,0.000000,0.000000,0.044588,-0.200000,-0.014983,-0.001791,-0.013692,-0.000179,-0.000452,-0.007065,0.000000,0.000094,-0.009992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.148280,0.211621,0.000000,1.000000,0.054566,0.040028,18.059572,0.000077,1.091409,179875.000000,1.997683,0.188361,-4.072992,89.580002,-4.072992,89.580002
34,0.000000,0.000000,0.047735,-0.200000,-0.015264,-0.001756,-0.014683,-0.000197,-0.000485,-0.007635,0.000000,0.000097,-0.010749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.150990,0.230497,0.000000,1.000000,0.036287,0.001183,18.074902,0.000390,1.092399,182941.000000,1.960163,0.189240,-4.048077,100.839996,-4.048077,100.839996
35,0.000000,0.000000,0.050496,-0.200000,-0.015187,-0.001795,-0.015537,-0.000205,-0.000513,-0.008156,0.000000,0.000116,-0.011441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.151812,0.244154,0.000000,1.000000,0.033245,-0.004014,18.075197,0.001317,1.093743,180019.000000,1.984554,0.199746,-4.046451,103.059998,-4.046451,103.059998
36,0.000000,0.000000,0.057787,-0.200000,-0.015529,-0.001830,-0.017792,-0.000226,-0.000589,-0.009522,0.000000,0.000113,-0.013128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.159081,0.276637,0.000000,1.000000,0.029964,-0.004358,18.088570,0.001975,1.094246,186955.000000,1.908635,0.194623,-4.026451,111.070000,-4.026451,111.070000
37,0.000000,0.000000,0.061567,-0.200000,-0.015713,-0.001761,-0.019020,-0.000239,-0.000631,-0.010040,0.000000,0.000115,-0.013873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.163768,0.296013,0.000000,1.000000,0.024612,0.003891,18.094620,0.000878,1.095474,187906.000000,1.898700,0.193918,-4.006474,120.010002,-4.006474,120.010002
38,0.000000,0.000000,0.067703,-0.200000,-0.016266,-0.001829,-0.020939,-0.000275,-0.000681,-0.011216,0.000000,0.000126,-0.015317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.167963,0.326058,0.000000,1.000000,0.021507,0.002606,18.109529,0.000585,1.096571,186530.000000,1.915187,0.192861,-3.964918,140.710007,-3.964918,140.710007
39,0.000000,0.000000,0.069320,-0.200000,-0.016294,-0.001775,-0.021538,-0.000279,-0.000703,-0.011479,0.000000,0.000102,-0.015517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.170308,0.333214,0.000000,1.000000,0.022959,-0.001421,18.113489,0.001317,1.096816,191103.000000,1.864950,0.192657,-3.972853,135.820007,-3.972853,135.820007
40,0.000000,0.000000,0.064559,-0.200000,-0.016091,-0.001786,-0.020093,-0.000286,-0.000665,-0.010540,0.000000,0.000176,-0.014676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.167608,0.317228,0.000000,1.000000,0.017044,0.001853,18.120356,0.000585,1.098362,190140.000000,1.875368,0.192662,-3.994701,125.650002,-3.994701,125.650002
41,0.000000,0.000000,0.069489,-0.200000,-0.016648,-0.001736,-0.021695,-0.000333,-0.000746,-0.011503,0.000000,0.000137,-0.015545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.181936,0.344392,0.000000,1.000000,0.013954,-0.000567,18.123354,0.000878,1.098280,192212.000000,1.851327,0.194406,-3.968485,133.889999,-3.968485,133.889999
